Variable,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Mongar,Paro,Pemagatshel,Punakha,Samdrup Jongkhar,Samtse,Sarpang,Tashi Yangtse,Tashigang,Thimphu,Trongsa,Tsirang,Wangdue Phodrang,Zhemgang
solar radiation - ssp3 - 2081-2100 - annual,183.85,180.82,181.67,183.69,181.03,181.94,183.77,183.32,186.71,181.43,183.24,180.44,182.51,182.68,183.07,184.04,181.64,183.85,182.81,184.23
solar radiation - ssp5 - 2021-2040 - annual,186.42,183.1,183.87,187,183.68,184.46,185.76,186.12,188.63,184.32,185.14,182.9,184.55,184.98,185,186.93,183.93,185.97,185.4,186.22
solar radiation - ssp5 - 2041-2060 - annual,187.22,185.05,185.73,187.27,185.23,185.18,187.24,187.34,190.42,185.15,186.92,184.88,186.38,185.86,186.45,187.94,185.16,187.75,186.43,187.92
solar radiation - ssp5 - 2061-2080 - annual,186.96,185.64,186.32,186.5,185.23,184.9,187.54,187.08,191.05,184.73,187.53,185.36,187.03,185.73,186.79,187.56,185.22,188.32,186.27,188.45
solar radiation - ssp5 - 2081-2100 - annual,186.76,186.45,187.11,185.73,185.45,184.64,188,186.99,191.86,184.44,188.29,186.11,187.85,185.64,187.22,187.33,185.42,189.07,186.25,189.14
solar radiation - historical - jun - sep,197.15,190.88,192.4,200.23,191.11,197.31,195.58,194.03,195.11,196.83,192.27,191.8,192.69,196.68,193.53,196.02,194.7,194.28,196.06,194.51
solar radiation - ssp1 - 2021-2040 - jun - sep,193.65,186.44,188.14,195.57,186.72,194.29,192.91,189.69,192.35,192.45,189.99,187.18,188.92,194.25,191.49,191.65,191.09,190.26,191.95,191.3
solar radiation - ssp1 - 2041-2060 - jun - sep,195.25,188.98,190.56,196.93,188.95,195.88,194.85,191.61,194.51,194.02,192.05,189.82,191.23,195.9,193.35,193.4,192.91,192.57,193.68,193.44
solar radiation - ssp1 - 2061-2080 - jun - sep,197.12,191.55,193.15,198.81,191.29,197.53,196.74,193.89,196.49,196.23,193.86,192.3,193.67,197.46,195.07,195.62,195.09,195.1,195.91,195.62
solar radiation - ssp1 - 2081-2100 - jun - sep,197.91,192.66,194.18,199.52,192.29,198.42,197.77,194.74,197.61,196.91,194.99,193.49,194.69,198.45,196.14,196.41,195.9,196.09,196.65,196.64
solar radiation - ssp2 - 2021-2040 - jun - sep,191.43,183.36,185.19,193.31,183.82,192.22,190.54,187,189.84,189.95,187.57,183.97,186.14,192.19,189.2,189.06,188.62,187.42,189.46,188.73
solar radiation - ssp2 - 2041-2060 - jun - sep,192.71,185.23,187.01,194.35,185.52,193.47,192.03,188.56,191.35,191.29,188.96,185.85,187.85,193.48,190.58,190.51,190.1,189.18,190.87,190.31
solar radiation - ssp2 - 2061-2080 - jun - sep,193.52,187.02,188.68,194.56,186.86,194.34,193.52,189.5,193.21,191.87,190.87,187.72,189.59,194.61,192.22,191.23,191.18,190.79,191.7,191.98
solar radiation - ssp2 - 2081-2100 - jun - sep,194.87,188.62,190.29,195.92,188.29,195.6,194.82,190.87,194.42,193.31,191.98,189.3,191.07,195.8,193.39,192.62,192.66,192.36,193.21,193.34
solar radiation - ssp3 - 2021-2040 - jun - sep,190.55,182.3,184.09,192.39,182.81,191.4,189.63,186,188.93,188.98,186.68,182.96,185.09,191.37,188.31,188.06,187.63,186.33,188.45,187.75
solar radiation - ssp3 - 2041-2060 - jun - sep,190.21,181.85,183.69,191.55,182.39,191.18,189.67,185.53,188.86,188.39,186.73,182.47,184.79,191.4,188.53,187.52,187.38,185.99,188.01,187.6
solar radiation - ssp3 - 2061-2080 - jun - sep,189.89,181.71,183.58,190.93,181.88,190.95,189.56,184.92,188.85,187.77,186.66,182.23,184.76,191.2,188.38,186.9,187.09,185.9,187.58,187.55
solar radiation - ssp3 - 2081-2100 - jun - sep,188.79,181.11,182.96,189.55,180.88,189.83,188.79,183.74,188.28,186.59,186.18,181.57,184.16,190.2,187.71,185.68,186.18,185.26,186.57,186.89
solar radiation - ssp5 - 2021-2040 - jun - sep,192.11,183.94,185.78,193.83,184.47,192.88,191.32,187.64,190.6,190.62,188.35,184.56,186.78,192.91,190.01,189.68,189.33,188.03,190.12,189.44
solar radiation - ssp5 - 2041-2060 - jun - sep,192.13,185.02,186.7,193.26,185.33,192.96,192.02,188.12,191.46,190.51,189.22,185.81,187.64,193.2,190.76,189.89,189.7,188.87,190.23,190.22
solar radiation - ssp5 - 2061-2080 - jun - sep,192.14,185.4,187.15,192.74,184.98,193.06,192.42,187.62,192,190.15,189.74,185.93,188.18,193.45,191.22,189.39,189.85,189.35,190.19,190.71
solar radiation - ssp5 - 2081-2100 - jun - sep,192.77,186.55,188.31,192.87,185.76,193.61,193.48,188.24,193.19,190.76,190.84,187.03,189.36,194.13,192.22,189.93,190.77,190.5,190.96,191.85
solar radiation - historical - mar - may,225.13,225.46,224.8,227.11,226.15,222.51,223.24,227.32,226.23,224.26,223.48,227.1,224.34,221.87,222.45,227.6,223.43,225.85,225.25,224.58
solar radiation - ssp1 - 2021-2040 - mar - may,221.43,220.72,220.09,223.78,222.23,218.78,219,223.74,221.45,220.81,218.81,222.43,219.55,218.02,218.21,224.1,219.52,221.19,221.53,220
solar radiation - ssp1 - 2041-2060 - mar - may,223.14,223.86,223.25,225.03,224.58,220.37,221.54,225.73,224.61,222.52,221.91,225.41,222.77,219.76,220.72,225.93,221.77,224.32,223.55,222.99
solar radiation - ssp1 - 2061-2080 - mar - may,225.99,227.7,227.1,227.3,227.77,223.15,225.03,228.67,228.49,225.31,225.8,229.12,226.66,222.71,224.23,228.74,225,228.13,226.57,226.73
solar radiation - ssp1 - 2081-2100 - mar - may,226.25,228.73,227.99,227.63,228.67,223.34,225.41,229.38,229.07,225.76,226.21,230.27,227.43,222.85,224.46,229.34,225.43,228.91,227.02,227.34
solar radiation - ssp2 - 2021-2040 - mar - may,217.83,214.37,213.94,220.62,216.9,215.44,214.25,219.11,215.75,216.87,213.13,215.97,213.55,214.46,213.46,219.83,215.08,215.27,217.31,214.51
solar radiation - ssp2 - 2041-2060 - mar - may,219.4,217.13,216.61,222.12,219.33,216.77,216.07,221.3,217.74,218.77,214.98,218.78,215.98,215.77,215.1,221.87,217.07,217.81,219.29,216.63
solar radiation - ssp2 - 2061-2080 - mar - may,220.82,220.1,219.54,223.11,221.62,218.02,218.27,223.19,220.56,220.32,217.8,221.69,218.9,217.15,217.29,223.56,219.04,220.66,221.07,219.29
solar radiation - ssp2 - 2081-2100 - mar - may,222.35,222.92,222.3,224.29,223.88,219.4,220.38,225.12,223.12,222,220.25,224.47,221.63,218.6,219.29,225.32,221.03,223.35,222.94,221.8
solar radiation - ssp3 - 2021-2040 - mar - may,217.82,214.18,213.81,220.5,216.74,215.4,214.24,219,215.64,216.79,213.08,215.72,213.44,214.45,213.5,219.73,215.07,215.18,217.25,214.43
solar radiation - ssp3 - 2041-2060 - mar - may,216.34,212.33,211.93,219.24,215.4,213.85,212.49,217.78,213.53,215.52,210.92,213.98,211.45,212.82,211.66,218.5,213.57,213.31,215.84,212.51
solar radiation - ssp3 - 2061-2080 - mar - may,215.39,211.66,211.35,217.98,214.32,212.91,211.89,216.64,213.19,214.45,210.62,213.11,210.98,211.97,211.11,217.36,212.77,212.76,214.94,212.02
solar radiation - ssp3 - 2081-2100 - mar - may,214.77,212.36,211.95,216.79,214.59,212.21,211.98,216.48,213.59,213.84,210.98,213.88,211.51,211.47,211.19,216.94,212.63,213.27,214.57,212.36
solar radiation - ssp5 - 2021-2040 - mar - may,217.59,214.94,214.43,220.29,217.24,215.11,214.3,219.25,216.07,216.75,213.47,216.61,213.98,214.17,213.52,219.84,215.07,215.69,217.25,214.79
solar radiation - ssp5 - 2041-2060 - mar - may,219.04,217.51,216.97,221.41,219.43,216.33,216.26,221.22,218.27,218.5,215.6,219.14,216.39,215.44,215.35,221.66,217.03,218.15,219.11,217
solar radiation - ssp5 - 2061-2080 - mar - may,219.38,219.36,218.77,221.02,220.58,216.55,217.45,221.94,219.9,218.76,217.14,220.89,218.21,215.86,216.5,222.11,217.94,219.89,219.71,218.58
solar radiation - ssp5 - 2081-2100 - mar - may,218.55,219.92,219.34,219.41,220.34,215.68,217.64,221.22,220.6,217.75,217.87,221.38,218.84,215.29,216.78,221.2,217.68,220.42,219.11,219.06
solar radiation - historical - oct - nov,173.31,174.74,175.09,172.65,172.43,170.99,175.62,173.55,180.64,170.87,175.78,173.31,176.12,172.64,174.61,173.79,172.02,177.68,173.13,177.26
solar radiation - ssp1 - 2021-2040 - oct - nov,170.56,171.79,172.25,169.3,169.66,168.32,173.49,170.72,178.59,167.85,173.91,170.31,173.55,170.3,172.73,170.85,169.4,174.95,170.23,174.96
solar radiation - ssp1 - 2041-2060 - oct - nov,171.72,173.6,174,170.26,171.24,169.36,174.89,172.11,180.14,169.11,175.4,172.19,175.22,171.35,174.04,172.15,170.82,176.64,171.59,176.52
solar radiation - ssp1 - 2061-2080 - oct - nov,172.83,175.47,175.81,171.01,172.68,170.56,176.54,173.3,182.08,170.07,177.36,174.04,177.08,172.73,175.76,173.23,172.13,178.41,172.73,178.3
solar radiation - ssp1 - 2081-2100 - oct - nov,173.94,176.35,176.77,172.12,173.4,171.66,177.51,174.13,183.02,171.13,178.24,174.79,178.05,173.75,176.65,174.14,173.17,179.39,173.8,179.27
solar radiation - ssp2 - 2021-2040 - oct - nov,169.13,168.87,169.44,168.15,167.5,166.9,171.21,169.03,175.56,166.53,170.82,167.32,170.68,168.73,170.38,169.33,167.62,172.27,168.65,172.29
solar radiation - ssp2 - 2041-2060 - oct - nov,169.01,169.38,169.99,167.54,167.44,166.88,171.95,168.73,176.79,166.08,172.29,167.73,171.46,169.02,171.41,168.96,167.74,172.84,168.49,173.12
solar radiation - ssp2 - 2061-2080 - oct - nov,170.88,172.59,173.11,168.83,170.07,168.58,174.37,170.99,179.59,168.06,174.94,170.95,174.51,170.79,173.67,171.01,170.11,175.86,170.68,175.92
solar radiation - ssp2 - 2081-2100 - oct - nov,171.82,174.1,174.53,169.68,171.44,169.49,175.5,172.16,180.86,168.99,176.08,172.57,175.87,171.66,174.65,172.06,171.16,177.22,171.68,177.18
solar radiation - ssp3 - 2021-2040 - oct - nov,169.01,168.25,168.86,168.08,167.2,166.77,170.91,168.83,174.94,166.43,170.14,166.71,170.08,168.55,170,169.17,167.43,171.74,168.51,171.78
solar radiation - ssp3 - 2041-2060 - oct - nov,167.24,166.42,167.01,165.84,165.36,165.15,169.56,166.92,173.71,164.35,169.11,164.91,168.43,167.19,168.92,167.17,165.66,169.93,166.51,170.32
solar radiation - ssp3 - 2061-2080 - oct - nov,166.91,166.54,167.26,164.94,164.95,164.78,169.67,166.39,174,163.86,169.35,164.78,168.77,166.92,168.99,166.61,165.62,170.23,166.29,170.59
solar radiation - ssp3 - 2081-2100 - oct - nov,166.81,166.75,167.5,164.24,164.79,164.75,170.05,166.1,174.52,163.5,169.94,164.9,169.11,167.08,169.46,166.24,165.7,170.5,166.14,170.97
solar radiation - ssp5 - 2021-2040 - oct - nov,170.17,170.16,170.76,168.83,168.58,167.95,172.7,170,177.17,167.42,172.47,168.57,172.1,169.93,171.94,170.24,168.82,173.61,169.69,173.75
solar radiation - ssp5 - 2041-2060 - oct - nov,170.3,171.28,171.79,168.26,169.28,168.08,173.56,170.34,178.38,167.4,173.69,169.75,173.18,170.25,172.81,170.36,169.3,174.58,169.9,174.79
solar radiation - ssp5 - 2061-2080 - oct - nov,168.66,170.47,170.97,165.89,167.94,166.53,172.74,168.7,177.95,165.53,173.4,168.87,172.51,169.02,172.2,168.56,168.01,173.78,168.31,174.1
solar radiation - ssp5 - 2081-2100 - oct - nov,167.6,170.52,171,164.15,167.39,165.45,172.24,167.79,177.72,164.34,173.12,168.85,172.47,168.07,171.65,167.46,167.34,173.73,167.43,173.86
solar radiation - historical - dec - feb,161.67,163.63,164.26,159.31,162.72,156.79,162.64,164.78,171.26,157.58,166.09,161.3,165.38,158.64,162.72,164.42,159.22,166.37,161,166.34
solar radiation - ssp1 - 2021-2040 - dec - feb,160.99,162.39,163.12,158.59,161.89,156.09,161.91,164.1,170.35,156.96,165.25,160.05,164.28,157.99,162.02,163.76,158.5,165.3,160.28,165.4
solar radiation - ssp1 - 2041-2060 - dec - feb,161.5,163.76,164.39,159.16,162.87,156.58,162.72,164.86,171.58,157.55,166.55,161.49,165.52,158.51,162.91,164.46,159.17,166.48,160.93,166.5
solar radiation - ssp1 - 2061-2080 - dec - feb,162.28,165.2,165.81,159.73,163.92,157.35,163.97,165.75,173.22,158.3,168.3,162.89,167.01,159.41,164.26,165.28,160.15,167.87,161.8,167.92
solar radiation - ssp1 - 2081-2100 - dec - feb,162.71,165.91,166.48,160.09,164.49,157.82,164.54,166.22,173.89,158.7,168.94,163.64,167.65,159.91,164.84,165.71,160.61,168.5,162.24,168.52
solar radiation - ssp2 - 2021-2040 - dec - feb,157.98,157.97,158.74,156.32,158.46,153.07,157.83,161.13,165.44,154.26,160.12,155.69,159.72,154.67,157.72,160.96,155.07,161,157.21,160.98
solar radiation - ssp2 - 2041-2060 - dec - feb,159.29,160.14,160.88,157.36,160.12,154.32,159.6,162.57,167.59,155.54,162.34,157.78,161.88,156.02,159.55,162.31,156.64,163.08,158.64,162.98
solar radiation - ssp2 - 2061-2080 - dec - feb,160.04,161.66,162.33,157.92,161.31,155.02,160.83,163.55,169.24,156.31,164.12,159.38,163.37,156.83,160.88,163.18,157.63,164.47,159.51,164.41
solar radiation - ssp2 - 2081-2100 - dec - feb,161.18,163.64,164.31,158.77,162.7,156.13,162.52,164.7,171.45,157.35,166.4,161.28,165.47,158.07,162.67,164.27,159.02,166.43,160.75,166.39
solar radiation - ssp3 - 2021-2040 - dec - feb,158.25,157.88,158.74,156.41,158.41,153.38,158.16,161.15,165.68,154.38,160.4,155.5,159.82,155.05,158.1,161.02,155.3,161.07,157.37,161.19
solar radiation - ssp3 - 2041-2060 - dec - feb,157.72,157.16,158.05,155.96,157.94,152.75,157.44,160.79,164.8,154.02,159.47,154.75,159.1,154.35,157.3,160.65,154.81,160.41,156.93,160.46
solar radiation - ssp3 - 2061-2080 - dec - feb,157.31,157.19,158.06,155.58,157.81,152.27,157.2,160.56,164.79,153.67,159.42,154.8,159.12,153.85,157,160.37,154.54,160.38,156.62,160.4
solar radiation - ssp3 - 2081-2100 - dec - feb,157.73,158.27,159.12,155.75,158.49,152.61,158.01,161.06,165.86,154.08,160.46,155.85,160.23,154.28,157.81,160.82,155.21,161.43,157.17,161.41
solar radiation - ssp5 - 2021-2040 - dec - feb,158.5,158.77,159.51,156.72,159.14,153.58,158.51,161.72,166.19,154.77,160.98,156.53,160.46,155.26,158.51,161.5,155.65,161.72,157.74,161.66
solar radiation - ssp5 - 2041-2060 - dec - feb,160.11,161.8,162.49,157.81,161.52,155.04,160.96,163.77,169.22,156.48,163.97,159.47,163.49,156.88,160.92,163.35,157.83,164.64,159.68,164.51
solar radiation - ssp5 - 2061-2080 - dec - feb,159.82,162.35,162.98,157.39,161.73,154.61,160.99,163.77,169.66,156.27,164.38,160.05,163.99,156.45,160.89,163.25,157.8,165.07,159.57,164.88
solar radiation - ssp5 - 2081-2100 - dec - feb,159.72,163.45,164.02,156.93,162.2,154.45,161.56,163.89,170.75,156.12,165.42,161.13,165.09,156.38,161.39,163.23,158.09,166.06,159.66,165.8
cooling degree days - historical - annual,0.18,623.53,859.46,0,90.18,0.68,332.12,0.01,1645.86,0.06,1043.22,1026.68,1320.61,2.57,124.9,0.01,2.49,826.06,6.86,964.13
cooling degree days - ssp1 - 2021-2040 - annual,0.69,766.14,1017.01,0,110.77,4.1,440.12,0.29,1889.31,0.82,1237.84,1206.91,1533.01,12.88,174.71,0.33,13.01,994.63,19.93,1126.52
cooling degree days - ssp1 - 2041-2060 - annual,1.19,872.81,1132.11,0,125.03,7.6,512.14,1.05,2056.39,1.98,1362.21,1337.6,1685.12,23.41,207.72,1.11,23.61,1113.49,31.64,1240.26
cooling degree days - ssp1 - 2061-2080 - annual,1.57,926.74,1186.78,0,133.45,11.06,564.95,1.7,2142.13,3.01,1432.79,1401.83,1763.82,32.99,231.78,1.71,32.58,1179.87,39.91,1308.11
cooling degree days - ssp1 - 2081-2100 - annual,1.37,896.19,1166.06,0,126.8,9.58,545.46,1.66,2104.62,2.63,1393.6,1358.5,1728.2,29.11,222.69,1.62,30.69,1157.25,37.99,1276.79
cooling degree days - ssp2 - 2021-2040 - annual,0.59,734.72,989.18,0,105.05,3.88,428.61,0.31,1864.41,0.71,1208.6,1166.45,1498.13,12.26,169.25,0.31,11.26,965.84,18.36,1100.36
cooling degree days - ssp2 - 2041-2060 - annual,1.36,895.56,1162.73,0,128.27,9.91,546.68,1.74,2109.87,3.22,1402.92,1372.4,1723.55,29.44,225.05,1.72,30.31,1153.28,39.08,1273.18
cooling degree days - ssp2 - 2061-2080 - annual,2.36,1028.63,1300.68,0,144.88,18.79,665.51,4.99,2341.6,7.18,1584.89,1529.98,1926.79,57.12,285.52,4.95,54.81,1305.28,62.64,1435.76
cooling degree days - ssp2 - 2081-2100 - annual,3.37,1143.69,1439.93,0,164.35,26.38,757.68,9.84,2501.64,12.78,1702.66,1673.34,2089.73,75.39,330.38,9.82,76.08,1452.7,87.41,1565.51
cooling degree days - ssp3 - 2021-2040 - annual,0.52,729.96,981.58,0,103.76,3.11,416.4,0.19,1847.87,0.58,1188.19,1158.43,1489.59,10.51,162.93,0.21,10.55,953.71,17.52,1089.65
cooling degree days - ssp3 - 2041-2060 - annual,1.57,900.2,1163.25,0,130.25,11.22,555.05,1.71,2106.55,3.47,1408.39,1372.74,1732.6,33.29,227.34,1.84,32.79,1159.16,41.36,1284.11
cooling degree days - ssp3 - 2061-2080 - annual,3.41,1128.17,1414.54,0,165.24,25.47,743.83,10.08,2470.45,14.3,1684.32,1657.94,2064.82,71.26,322.92,10.84,75.35,1429.85,86.14,1551.44
cooling degree days - ssp3 - 2081-2100 - annual,7.95,1409.04,1729.63,0.06,210.01,50.76,987.46,30.22,2889.59,43.13,2013.14,1975.67,2449.62,134.43,466.02,34.65,149.25,1764.01,164.59,1872
cooling degree days - ssp5 - 2021-2040 - annual,0.72,773.49,1027.17,0,112.36,4.73,450.38,0.35,1910.24,0.96,1250.3,1219.57,1551.57,14.89,178.54,0.38,13.87,1009.45,21.11,1141.93
cooling degree days - ssp5 - 2041-2060 - annual,2.51,1030.17,1303.58,0,149.4,19.37,656.22,4.99,2310.76,7.72,1565.59,1535.27,1911.87,55.01,280.98,5.33,52.03,1304.73,60.49,1429.37
cooling degree days - ssp5 - 2061-2080 - annual,7.86,1393.57,1696.77,0.05,209.27,49.37,964.06,26.35,2849.63,37.13,1991.92,1967.89,2411.03,129.85,451.13,30.04,134.68,1724.25,148.92,1839.92
cooling degree days - ssp5 - 2081-2100 - annual,26.97,1916.35,2251.67,1.33,331.36,107.55,1395.4,80.29,3567.43,122.53,2579.44,2558.27,3075.91,245.32,726.88,96.84,279.74,2304.23,307.97,2409.35
heating degree days - historical - annual,10123.1,2543.64,2380.72,12956.32,7159.16,9287.69,3240.72,8895.68,1171.5,7086.38,1988.92,2115.98,1477.35,7433.12,4772.52,8955.31,6582.6,2045.96,7395.6,2300.9
heating degree days - ssp1 - 2021-2040 - annual,9622.82,2270.3,2117.33,12410.83,6732.14,8791.7,2910.56,8433.49,982.31,6580.88,1754.17,1863.22,1271.97,6960.27,4359.73,8485.94,6138.18,1795.01,6910.95,2040.94
heating degree days - ssp1 - 2041-2060 - annual,9335.23,2073.33,1936.41,12115.38,6447.35,8500.95,2691.64,8148.6,857.16,6295.91,1589.13,1691.92,1134.36,6673.35,4103.24,8200.81,5861.66,1625.48,6632.13,1866.09
heating degree days - ssp1 - 2061-2080 - annual,9210.27,2011.21,1873.78,11999.2,6350.66,8383.15,2619.08,8046.62,824.6,6180.02,1539.16,1641.52,1086.89,6561.69,4007.42,8094.7,5747.9,1564.93,6517.08,1807.01
heating degree days - ssp1 - 2081-2100 - annual,9265.05,2047.18,1909.4,12072.52,6400.82,8435.7,2653.86,8095.45,847.32,6242.66,1568.9,1674.09,1113.24,6608.56,4041.08,8146.11,5794.96,1597.63,6581.52,1835.69
heating degree days - ssp2 - 2021-2040 - annual,9615.06,2275.69,2114.4,12396.26,6722.2,8776.05,2897.82,8409.4,987.43,6562.67,1759.48,1861.25,1275.02,6956.02,4365.36,8467.79,6133.74,1783.17,6904.32,2036.32
heating degree days - ssp2 - 2041-2060 - annual,9184.24,2009.68,1861.94,11943.96,6320.54,8357.76,2605.74,7985.48,819.67,6133.06,1542.2,1631.02,1082.19,6562.49,4007.85,8037.23,5730.61,1544.03,6493.25,1796.14
heating degree days - ssp2 - 2061-2080 - annual,8806.45,1802.75,1670.68,11551.36,5988.01,7970.77,2361.74,7623.8,690.66,5757.44,1364.15,1453.86,937.75,6185.89,3710.54,7669.02,5398.21,1366.86,6150.77,1608.45
heating degree days - ssp2 - 2081-2100 - annual,8534.51,1637.5,1515,11298.85,5712.94,7713.77,2172.25,7348.23,604.5,5490.72,1240.35,1319.22,828.89,5935.66,3472.55,7404.92,5124.48,1221.65,5886.1,1462.63
heating degree days - ssp3 - 2021-2040 - annual,9674.15,2303.19,2141.77,12452.79,6781.77,8840.32,2934.5,8475.99,1002.5,6623.6,1781.86,1886.93,1295.62,7019.7,4409.31,8529.9,6183.88,1809.05,6956.89,2059.04
heating degree days - ssp3 - 2041-2060 - annual,9150.1,2030.76,1879.28,11904.11,6333.8,8316.74,2605.92,7974.34,827.45,6111.55,1558.9,1647.93,1094.92,6524.48,4008.62,8018.51,5717.02,1558.7,6481.14,1805.31
heating degree days - ssp3 - 2061-2080 - annual,8505.63,1670.7,1546.4,11236.61,5742.56,7675.94,2200.39,7345.56,620.78,5479.36,1261.37,1337.72,845.68,5925.87,3511.77,7384.02,5147,1245.59,5897.54,1488.64
heating degree days - ssp3 - 2081-2100 - annual,7902.08,1369.75,1266.92,10585.05,5188.22,7095.23,1855.55,6761.21,450.8,4892.94,1007.8,1079.01,646.06,5390,3047.66,6795.91,4619.94,986.7,5364.3,1224.81
heating degree days - ssp5 - 2021-2040 - annual,9589.14,2263.85,2101.01,12377.64,6708.63,8745.67,2885.16,8395.73,973.99,6551.48,1747.21,1853.65,1265.48,6926.97,4350.57,8454.7,6110.45,1770.18,6882.95,2021.75
heating degree days - ssp5 - 2041-2060 - annual,8887.02,1857.24,1725.12,11624.75,6064.08,8050.14,2430.37,7710.84,726.65,5853.84,1409.42,1499.06,981.1,6269.34,3787.8,7761.91,5484.46,1417.49,6238.15,1662.41
heating degree days - ssp5 - 2061-2080 - annual,8043.87,1410.47,1306.09,10740.52,5294.9,7238.25,1919.34,6889.35,467.82,5025.27,1028.11,1117.7,670.1,5518.16,3139.93,6935.03,4726.04,1021.96,5475.03,1261.85
heating degree days - ssp5 - 2081-2100 - annual,7088.17,1012.13,941.27,9726.32,4466.56,6320.14,1411.94,5986.67,259.84,4143.53,697.58,782.84,418.65,4670.17,2478.42,6032.37,3924.14,684.88,4675.04,903.59
